method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,4,full_layer,LR,1524,508,508,,0.6456692913385826,0.6338582677165354,0.65748031496063,0.6491935483870968,0.6338582677165354,0.6414342629482072,0.7207669415338831,161,93,167,87,508
GradDiff,1,4,full_layer,RF,1524,508,508,,0.5590551181102362,0.4921259842519685,0.6259842519685039,0.5681818181818182,0.4921259842519685,0.5274261603375527,0.6026722053444106,125,129,159,95,508
GradDiff,1,4,full_layer,AdaBoost,1524,508,508,,0.6003937007874016,0.5866141732283464,0.6141732283464567,0.6032388663967612,0.5866141732283464,0.5948103792415169,0.6250542501085001,149,105,156,98,508
GradDiff,1,4,init_band,LR,1524,508,508,,0.5649606299212598,0.5078740157480315,0.6220472440944882,0.5733333333333334,0.5078740157480315,0.5386221294363257,0.6220937441874884,129,125,158,96,508
GradDiff,1,4,init_band,RF,1524,508,508,,0.5,0.4330708661417323,0.5669291338582677,0.5,0.4330708661417323,0.4641350210970464,0.5183287866575733,110,144,144,110,508
GradDiff,1,4,init_band,AdaBoost,1524,508,508,,0.5236220472440944,0.49606299212598426,0.5511811023622047,0.525,0.49606299212598426,0.5101214574898786,0.5258540517081034,126,128,140,114,508
GradDiff,1,4,init_band_emb,LR,1524,508,508,,0.5649606299212598,0.5078740157480315,0.6220472440944882,0.5733333333333334,0.5078740157480315,0.5386221294363257,0.6221092442184885,129,125,158,96,508
GradDiff,1,4,init_band_emb,RF,1524,508,508,,0.5019685039370079,0.4251968503937008,0.5787401574803149,0.5023255813953489,0.4251968503937008,0.4605543710021322,0.5262415524831049,108,146,147,107,508
GradDiff,1,4,init_band_emb,AdaBoost,1524,508,508,,0.5492125984251969,0.484251968503937,0.6141732283464567,0.5565610859728507,0.484251968503937,0.5178947368421053,0.546755843511687,123,131,156,98,508
GradDiff,1,4,end_band,LR,1524,508,508,,0.6417322834645669,0.6377952755905512,0.6456692913385826,0.6428571428571429,0.6377952755905512,0.6403162055335968,0.6995938991877985,162,92,164,90,508
GradDiff,1,4,end_band,RF,1524,508,508,,0.5767716535433071,0.5590551181102362,0.594488188976378,0.5795918367346938,0.5590551181102362,0.5691382765531062,0.6418872837745675,142,112,151,103,508
