method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
GradDiff,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,132,0.1287878787878787,0.1287878787878787,0.0,0.8712121212121212,-1.0362685015860034,-2.737212039217332,-0.6321095980640086
GradDiff,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,131,0.1755725190839694,0.1755725190839694,0.0,0.8244274809160306,-0.3770344169358477,-0.6287458994773804,-0.1579585102689689
GradDiff,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,131,0.1755725190839694,0.1755725190839694,0.0,0.8244274809160306,0.0370988095966886,-0.1517386506488489,0.1933924937252034
GradDiff,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,131,0.2595419847328244,0.2595419847328244,0.0,0.7404580152671756,0.405140504063129,0.2040675540840263,0.6113932676396169
GradDiff,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,132,0.3106060606060606,0.3106060606060606,0.0,0.6893939393939394,0.9715575813523664,0.613552962611315,2.230730982700452
GradDiff,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,141,0.1489361702127659,0.1489361702127659,0.0141843971631205,0.8156028368794326,-0.3387865558660121,-1.136983091537066,-0.1274512546403661
GradDiff,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,343,0.1895043731778425,0.1895043731778425,0.0262390670553935,0.7551020408163265,-0.0220081438037746,-0.1272809221308861,-0.0015043749612555
GradDiff,suppressed_vs_rest,correct_only,mean_difference,Qstar,3,77,0.1948051948051948,0.1948051948051948,0.0259740259740259,0.7272727272727273,0.0434917807279624,-0.0012103992871569,0.1023754302577388
GradDiff,suppressed_vs_rest,correct_only,mean_difference,Qstar,4,140,0.2642857142857143,0.2642857142857143,0.0571428571428571,0.6357142857142857,0.3712059327553519,0.1036405896912632,1.4323817332883606
GradDiff,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,108,0.0,0.0,0.0,1.0,-1.285296558622967,-3.1639106062033364,-0.6682908898498364
GradDiff,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,108,0.0,0.0,0.0,1.0,-0.3757249840924238,-0.6639175180536141,-0.0870080711295213
GradDiff,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,108,0.0925925925925925,0.0,0.0925925925925925,0.9074074074074074,0.1517727521501176,-0.0851203295811103,0.3453682659051122
GradDiff,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,108,0.0462962962962962,0.0,0.0462962962962962,0.9537037037037036,0.5474704452996318,0.3506190175456694,0.7123900354653243
GradDiff,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,108,0.0555555555555555,0.0,0.0555555555555555,0.9444444444444444,0.9617783452656412,0.7133024241789369,1.5291448372503091
PB&J,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,50,0.56,0.56,0.44,0.0,-1.216134970017306,-2.008794871766061,-0.8344500308681668
PB&J,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,50,0.72,0.72,0.28,0.0,-0.5772233461604119,-0.8326477242794512,-0.2739216416259799
PB&J,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,49,0.8163265306122449,0.8163265306122449,0.1836734693877551,0.0,-0.0182509267423608,-0.258643182330336,0.2432790761416456
PB&J,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,50,0.8,0.8,0.2,0.0,0.5625575085262594,0.2621898975584277,0.8658433230551562
PB&J,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,50,0.9,0.9,0.1,0.0,1.2486867158589718,0.8817267110778777,2.4645822634308288
PB&J,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,110,0.209090909090909,0.209090909090909,0.0,0.7909090909090909,-1.1950472831222674,-2.221012890983624,-0.7316445336688988
PB&J,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,110,0.2727272727272727,0.2727272727272727,0.0,0.7272727272727273,-0.50900077889611,-0.7316159035920217,-0.3328803726352832
PB&J,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,110,0.2818181818181818,0.2818181818181818,0.0,0.7181818181818181,-0.0897000428224813,-0.329818742820061,0.1602145511361722
PB&J,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,110,0.4272727272727272,0.4272727272727272,0.0,0.5727272727272728,0.5416752269179045,0.16060602413667,0.8640154168219005
PB&J,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,110,0.5272727272727272,0.5272727272727272,0.0,0.4727272727272727,1.2520728779229544,0.8664056590941694,2.639824611853067
PB&J,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,141,0.1347517730496454,0.1347517730496454,0.0638297872340425,0.5460992907801419,-0.9346816206744296,-1.7448282082779492,-0.5552810324269226
PB&J,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,140,0.2142857142857142,0.2142857142857142,0.15,0.5285714285714286,-0.3951862595359302,-0.5545653528959605,-0.2267896452019059
PB&J,suppressed_vs_rest,correct_only,mean_difference,Qstar,3,140,0.2428571428571428,0.2428571428571428,0.0714285714285714,0.5642857142857143,-0.0635348745926046,-0.2249257322519097,0.1397131081037259
PB&J,suppressed_vs_rest,correct_only,mean_difference,Qstar,4,140,0.3285714285714285,0.3285714285714285,0.0928571428571428,0.4785714285714286,0.3966018311354123,0.1433864154554057,0.6456594898018018
